mission_id,client_name,location,required_skills,required_certifications,start_date,end_date,priority,assigned_pilot_id,assigned_drone_id,status
M001,Tech Corp,"Bangalore","Aerial Photography,Mapping","Part 107,Advanced Pilot",2024-02-01,2024-02-28,1,P001,D001,Active
M002,Green Farms Ltd,"Pune","Agricultural Monitoring","Part 107,Agricultural Specialist",2024-02-15,2024-03-15,2,,,Pending
M003,AgriTech Solutions,"Pune","Agricultural Monitoring,Spraying","Part 107,Agricultural Specialist",2024-02-05,2024-02-25,2,P003,D002,Active
M004,Solar Energy Co,"Delhi","Thermal Imaging","Part 107,Thermography Level 2",2024-02-10,2024-02-20,1,,,Pending
M005,Infrastructure Ltd,"Bangalore","Surveying,3D Modeling","Part 107,Advanced Pilot,LiDAR Certified",2024-02-12,2024-03-12,1,,,Pending
M006,Real Estate Group,"Mumbai","Aerial Photography,Real Estate","Part 107",2024-02-08,2024-02-22,3,,,Pending
M007,Film Studios Inc,"Mumbai","Film Production,Cinematography","Part 107,Commercial Pilot",2024-02-01,2024-03-01,2,P006,D005,Active
M008,Power Grid Corp,"Chennai","Powerline Inspection","Part 107,Infrastructure Specialist",2024-02-18,2024-03-18,1,,,Pending
M009,Construction Co,"Hyderabad","Construction Monitoring","Part 107",2024-02-20,2024-04-20,3,,,Pending
M010,Energy Solutions,"Bangalore","Powerline Inspection,Infrastructure","Part 107,Infrastructure Specialist",2024-02-03,2024-02-28,2,P008,D006,Active
M011,Wildlife Foundation,"Pune","Wildlife Monitoring","Part 107",2024-02-25,2024-03-25,4,,,Pending
M012,Mining Corp,"Kolkata","Mining Survey,Volumetric Analysis","Part 107,Mining Specialist",2024-02-15,2024-03-30,2,,,Pending
M013,Disaster Relief Org,"Kochi","Disaster Assessment,Emergency Mapping","Part 107,Emergency Operations",2024-02-08,2024-02-15,1,,,Pending
M014,Tech Park Ltd,"Bangalore","Construction Monitoring,3D Modeling","Part 107",2024-03-01,2024-04-15,3,,,Pending
M015,Farm Cooperative,"Jaipur","Agricultural Monitoring,Mapping","Part 107",2024-02-05,2024-02-28,3,P013,D010,Active
M016,Solar Panel Co,"Delhi","Thermal Imaging,Solar Panel Inspection","Part 107,Thermography Level 2",2024-02-22,2024-03-22,2,,,Pending
M017,Film Production,"Bangalore","Film Production,Aerial Photography","Part 107,Commercial Pilot",2024-03-05,2024-03-20,4,,,Pending
M018,Survey Associates,"Chennai","Surveying,Mapping,LiDAR Mapping","Part 107,Advanced Pilot,LiDAR Certified",2024-02-01,2024-03-15,1,P015,D012,Active
M019,Industrial Safety,"Mumbai","Industrial Inspection,Safety Monitoring","Part 107",2024-02-28,2024-03-28,3,,,Pending
M020,Real Estate Developers,"Hyderabad","Real Estate,Architectural Photography","Part 107",2024-03-01,2024-03-15,4,,,Pending
M021,Infrastructure Board,"Pune","Infrastructure,Construction Monitoring","Part 107",2024-02-10,2024-03-10,2,,,Pending
M022,Power Company,"Bangalore","Powerline Inspection,Thermal Imaging","Part 107,Thermography Level 2,Infrastructure Specialist",2024-02-01,2024-02-28,1,P019,D014,Active
M023,Agricultural Board,"Pune","Agricultural Monitoring,Surveying","Part 107,Agricultural Specialist",2024-03-10,2024-04-10,3,,,Pending
M024,Emergency Services,"Delhi","Search and Rescue,Emergency Response","Part 107,Emergency Operations",2024-02-12,2024-02-19,1,,,Pending
M025,Mining Survey Ltd,"Kolkata","Mining Survey,Mapping","Part 107,Mining Specialist",2024-03-05,2024-04-05,2,,,Pending
